episode,coverage,steps,success,epsilon
588,0.990000,2500,0,0.308765
589,0.910000,2500,0,0.308147
590,0.960000,2500,0,0.307531
591,0.920000,2500,0,0.306916
592,0.870000,2500,0,0.306302
593,0.930000,2500,0,0.305689
594,0.900000,2500,0,0.305078
595,0.970000,2500,0,0.304468
596,0.960000,2500,0,0.303859
597,0.920000,2500,0,0.303251
598,0.940000,2500,0,0.302645
599,0.880000,2500,0,0.302039
600,0.940000,2500,0,0.301435
601,0.980000,2500,0,0.300833
602,0.910000,2500,0,0.300231
603,0.900000,2500,0,0.299630
604,0.940000,2500,0,0.299031
605,0.950000,2500,0,0.298433
606,0.960000,2500,0,0.297836
607,0.910000,2500,0,0.297241
608,0.840000,2500,0,0.296646
609,0.930000,2500,0,0.296053
610,0.840000,2500,0,0.295461
611,0.910000,2500,0,0.294870
612,0.970000,2500,0,0.294280
613,0.880000,2500,0,0.293691
614,0.980000,2500,0,0.293104
615,0.930000,2500,0,0.292518
616,0.860000,2500,0,0.291933
617,0.900000,2500,0,0.291349
618,0.930000,2500,0,0.290766
619,0.920000,2500,0,0.290185
620,0.930000,2500,0,0.289604
621,0.910000,2500,0,0.289025
622,0.930000,2500,0,0.288447
623,0.950000,2500,0,0.287870
624,1.000000,1771,1,0.287294
625,0.900000,2500,0,0.286720
626,0.900000,2500,0,0.286146
627,0.910000,2500,0,0.285574
628,0.920000,2500,0,0.285003
629,0.980000,2500,0,0.284433
630,0.900000,2500,0,0.283864
631,0.970000,2500,0,0.283296
632,0.980000,2500,0,0.282730
633,0.920000,2500,0,0.282164
634,0.920000,2500,0,0.281600
635,0.910000,2500,0,0.281037
636,0.840000,2500,0,0.280475
637,0.940000,2500,0,0.279914
638,0.850000,2500,0,0.279354
639,0.950000,2500,0,0.278795
640,0.920000,2500,0,0.278238
641,0.930000,2500,0,0.277681
642,0.990000,2500,0,0.277126
643,0.940000,2500,0,0.276572
644,0.950000,2500,0,0.276018
645,0.970000,2500,0,0.275466
646,0.970000,2500,0,0.274915
647,0.970000,2500,0,0.274366
648,0.940000,2500,0,0.273817
649,0.940000,2500,0,0.273269
650,0.880000,2500,0,0.272723
651,0.880000,2500,0,0.272177
652,1.000000,2172,1,0.271633
653,0.990000,2500,0,0.271090
654,0.850000,2500,0,0.270547
655,0.930000,2500,0,0.270006
656,0.960000,2500,0,0.269466
657,0.900000,2500,0,0.268927
658,0.970000,2500,0,0.268390
659,0.970000,2500,0,0.267853
660,0.970000,2500,0,0.267317
661,0.890000,2500,0,0.266782
662,0.970000,2500,0,0.266249
663,0.920000,2500,0,0.265716
664,0.970000,2500,0,0.265185
665,0.960000,2500,0,0.264655
666,0.970000,2500,0,0.264125
667,0.850000,2500,0,0.263597
